uaf_sector;uaf_ruts_total;uaf_ruts_match_sii_pj;uaf_match_rate_sii_pj;sii_acteco;sii_glosa;support_uaf_sector;coverage_sector;coverage_wilson_low;uaf_code_purity;lift_vs_uaf;sii_ruts_with_code;uaf_registered_any_with_code;registered_rate_any_uaf;registered_rate_target_sector;universe_sii_not_uaf_with_code;manual_sector_prior;manual_sector_similarity;manual_code_prior;empirical_role;confidence;false_positive_risk;empirical_score;rank_sector
Casas de remate y martillo;290;54;0.186207;477409;VENTA AL POR MENOR DE OTROS ARTICULOS DE SEGUNDA MANO EN COMERCIOS N.C.P.;4;0.074074;0.029181;0.333333;44.5864;2286;12;0.005249;0.00175;2274;Casas de Remate y Martillo;1.0;NO;ACTIVIDAD_INCIDENTAL;BAJA;ALTO;26.31;6
Casinos de Juego;25;25;1.0;920010;ACTIVIDADES DE CASINOS DE JUEGOS;25;1.0;0.866804;1.0;288.92;91;25;0.274725;0.274725;66;Casinos de Juego;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;BAJO;94.01;1
Casinos de Juego;25;25;1.0;932909;OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS N.C.P.;4;0.16;0.064033;0.173913;50.247;19526;23;0.001178;0.000205;19503;Casinos de Juego;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;25.49;3
Casinos de Juego;25;25;1.0;561000;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;4;0.16;0.064033;0.076923;22.2246;79552;52;0.000654;5e-05;79500;Casinos de Juego;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;24.04;4
Casinos flotantes de Juegos;1;1;1.0;522920;AGENCIAS DE NAVES;1;1.0;0.206543;0.25;1805.75;101;4;0.039604;0.009901;97;Casinos Flotantes de Juego;0.8477;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;MEDIO;33.04;1
Casinos flotantes de Juegos;1;1;1.0;522190;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE TERRESTRE N.C.P.;1;1.0;0.206543;0.012346;89.1728;22862;81;0.003543;4.4e-05;22781;Casinos Flotantes de Juego;0.8477;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;ALTO;29.48;2
Clubes de Tiro;1;1;1.0;931209;ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.;1;1.0;0.206543;0.04;288.92;5513;25;0.004535;0.000181;5488;Clubes de Tiro;1.0;SI;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;ALTO;49.89;1
Clubes de Tiro;1;1;1.0;477392;VENTA AL POR MENOR DE ARMAS Y MUNICIONES EN COMERCIOS ESPECIALIZADOS;1;1.0;0.206543;0.166667;1203.8333;80;6;0.075;0.0125;74;Clubes de Tiro;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;MEDIO;31.79;2
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;477394;VENTA AL POR MENOR DE ARTICULOS DE JOYERIA, BISUTERIA Y RELOJERIA EN COMERCIOS ESPECIALIZADOS;27;0.870968;0.711472;0.391304;91.1739;11133;69;0.006198;0.002425;11064;Comerciantes de Joyas y Piedras Preciosas;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;ALTO;77.89;1
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;321100;FABRICACION DE JOYAS Y ARTICULOS CONEXOS;7;0.225806;0.11395;1.0;233.0;1676;7;0.004177;0.004177;1669;Comerciantes de Joyas y Piedras Preciosas;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;40.13;2
